"Y","V1","V2","V3","V4","Season","WindDirection","WindSpeed","Atmosphere"
145.767703245325,34.409,35.927,12.238,1.865,"S1",1.423,6.872,1.054
23.5084893013277,38.58,38.334,7.504,0.167,"S1",0.92,6.152,1.054
52.3299755067563,35.204,39.062,6.475,5.531,"S1",2.418,3.745,1.054
15.3462963952431,41.186,42.292,6.485,NA,"S1",1.179,5.473,1.054
23.9178956039186,34.98,40.662,6.011,0,"S1",-0.296,1.888,1.054
122.061217198507,25.968,28.554,9.315,0,"S1",1.76,5.449,1.054
13.4965778407835,35.748,37.71,9.226,0.887,"S1",1.384,4.883,1.054
70.4386500451587,37.401,44.008,8.088,0.316,"S1",1.849,4.308,1.054
60.7190896653114,38.944,40.306,6.392,0,"S1",0.53,4.74,1.054
20.2847930000832,39.121,39.26,3.793,0,"S1",1.175,5.513,1.054
21.3975139472743,36.149,44.728,5.89,0,"S1",1.61,3.259,1.054
82.8437696428264,40.698,45.516,11.219,0.027,"S1",1.295,5.586,1.054
50.9897690446643,33.155,34.98,5.549,0,"S1",1.025,5.413,1.054
122.254807255871,35.154,40.392,11.267,0.421,"S1",0.086,2.626,1.054
32.5764580103535,30.705,34.01,7.076,1.858,"S1",1.375,6.928,1.054
50.3635343615649,32.242,32.751,7.144,0.762,"S1",1.137,5.392,1.054
12.1211197567481,29.702,33.303,8.635,0,"S1",1.33,4.26,1.054
60.8809781444688,30.262,31.334,13.539,0,"S1",1.723,5.341,1.054
14.8735489715901,31.162,32.008,4.546,0.696,"S1",1.228,5.138,1.054
70.3988297270698,37.646,41.405,9.155,0,"S1",0.973,5.497,1.054
15.8681564748777,34.001,35.483,9.948,2.305,"S1",0.056,3.123,1.054
4.59555647418386,37.046,40.136,5.949,0,"S1",1.759,4.004,1.054
43.9414719591156,36.304,42.2,2.971,NA,"S1",1.302,7.317,1.054
33.0573749539333,35.627,41.422,5.215,0,"S1",0.76,6.189,1.054
24.8352690464826,37.344,33.252,4.759,3.723,"S1",2.422,2.68,1.054
9.14305993859331,34.149,36.092,4.198,0.732,"S1",1.721,4.884,0.534
8.17984116666565,37.613,47.778,8.29,NA,"S1",-0.202,2.557,0.534
39.9307058622091,33.136,33.114,10.282,0,"S1",0.485,3.559,0.534
77.0231818378418,35.508,45.486,6.768,1.058,"S1",0.612,5.309,0.534
45.9776434335017,27.221,38.696,5.525,3.438,"S1",1.765,4.559,0.534
43.0246716936309,38.935,41.486,5.494,1.832,"S1",0.833,4.786,0.534
86.4823265651188,35.976,35.632,7.418,0,"S1",1.844,4.057,0.534
63.2992293862609,36.887,38.735,9.834,2.064,"S1",NA,6.019,0.534
39.4268610555387,33.803,38.943,6.727,5.077,"S1",2.256,4.03,0.534
71.0753117211794,29.576,32.725,6.935,0,"S1",1.892,4.985,0.534
36.2208714318938,34.198,37.195,7.311,0,"S1",0.108,3.797,0.534
16.9194579747743,36.168,36.216,11.033,2.462,"S1",0.238,3.8,0.534
66.8896123774769,33.334,36.003,9.142,0.311,"S1",0.78,3.599,0.534
49.6184393932725,27.422,30.567,12.503,0.66,"S1",1.299,6.486,0.534
9.95990530587673,31.498,34.664,10.43,1.591,"S1",0.719,5.003,0.534
31.3692332514954,26.424,32.999,5.416,1.309,"S1",2.125,5.083,0.534
9.9140116098368,34.538,37.625,7.105,NA,"S1",-2.636,0.028,0.534
4.15939866666548,32.644,38.978,4.622,0.298,"S1",1.372,4.417,0.534
67.3077826281388,28.213,31.786,11.522,0.609,"S1",0.238,4.185,0.534
7.9351035614287,24.498,32.172,9.74,0.38,"S1",0.845,5.073,0.534
8.95944841621535,25.169,32.66,4.219,0,"S1",1.824,4.518,0.534
28.4035862920482,29.319,32.898,6.345,0,"S1",1.101,5.415,0.534
9.53982503892834,38.785,38.677,5.883,0,"S1",0.755,4.988,0.534
39.4458081689027,31.703,43.179,12.176,2.561,"S1",1.565,4.755,0.534
45.6031070437806,38.22,42.321,5.333,1.579,"S1",1.203,4.935,0.534
18.812191161825,30.302,37.461,6.285,0,"S1",0.899,4.714,-0.227
104.849412884858,37.733,41.38,8.283,2.006,"S1",1.968,4.151,-0.227
28.6428134948012,37.182,40.44,6.201,1.655,"S1",0.808,4.704,-0.227
60.3482935013123,NA,44.297,13.388,0,"S1",0.228,2.778,-0.227
34.7386241430061,33.717,35.818,9.88,0,"S1",1.348,6.087,-0.227
66.3831140349354,NA,28.396,5.046,1.679,"S1",1.294,4.813,-0.227
38.3456058448887,35.669,38.046,4.167,0,"S1",0.087,3.322,-0.227
19.9392383347285,33.565,37.339,5.962,3.726,"S1",0.761,3.913,-0.227
10.9162710835323,36.858,38.957,10.107,2.014,"S1",0.722,4.128,-0.227
12.4726510389217,28.011,40.159,7.059,1.524,"S1",2.566,5.019,-0.227
21.8782643031373,33.272,36.511,10.362,0,"S1",NA,4.559,-0.227
34.8166975190661,35.63,31.912,5.677,1.638,"S1",-1.663,1.088,-0.227
40.1116233156278,32.47,35.21,6.96,0,"S1",0.809,4.22,-0.227
25.8336228715649,26.887,32.028,5.956,NA,"S1",1.597,3.936,-0.227
42.4429297869444,32.322,33.332,10.246,1.387,"S1",0.736,6.085,-0.227
19.077551411139,37.322,44.633,4.196,2.99,"S1",0.819,3.921,-0.227
68.7792870304135,34.947,35.185,6.949,4.687,"S1",-0.14,5.089,-0.227
31.5887918517353,34.602,38.948,7.143,0,"S1",0.74,3.653,-0.227
21.5355214432172,39.758,43.868,4.442,0,"S1",1.296,6.324,-0.227
5.58949757712552,41.055,41.427,4.891,1.126,"S1",0.634,4.362,-0.227
21.8724350108668,37.954,41.952,3.977,NA,"S1",-0.23,1.815,-0.227
27.820138483221,35.236,37.777,8.225,0.422,"S1",1.788,4.897,-0.227
36.3875308667561,39.787,41.542,6.631,1.789,"S1",2.038,7.161,-0.227
53.2245911235899,28.993,36.465,7.534,0.218,"S1",1.372,2.832,-0.227
23.1243154993395,32.99,36.993,3.897,1.195,"S1",0.693,5.241,-0.227
31.6510366394854,24.399,24.877,9.932,6.033,"S1",-0.248,0.798,0.863
32.3715982938476,28.004,29.997,5.565,0.768,"S1",0.622,4.585,0.863
14.6025840304393,35.944,49.435,7.741,0.672,"S1",0.422,3.761,0.863
61.5548185968278,30.753,35.035,10.575,0.284,"S1",0.248,3.067,0.863
40.4197346410732,33.356,38.475,6.626,0,"S1",2.908,3.883,0.863
41.3900009321181,23.903,35.655,7.338,0.005,"S1",1.16,4.276,0.863
44.3990386105513,37.812,54.533,7.887,0,"S1",-2.181,1.762,0.863
28.2785397218542,31.648,37.356,6.438,0,"S1",1.538,5.081,0.863
25.5995051021958,37.75,40.235,4.704,0.427,"S1",1.639,5.488,0.863
106.15803253071,25.534,30.692,5.46,1.779,"S1",1.93,3.934,0.863
21.2518112320644,33.56,NA,8.588,1.058,"S1",1.58,4.778,0.863
6.77063030275568,35.051,38.658,4.455,0.613,"S1",0.842,5.828,0.863
34.0361395550801,37.206,44.628,4.029,0,"S1",1.635,4.207,0.863
31.7256106463743,35.535,34.352,8.403,0,"S1",0.16,4.436,0.863
36.5725234982555,30.556,34.254,10.178,NA,"S1",1.603,5.975,0.863
35.8619023488975,33.901,37.049,6.817,1.026,"S1",0.449,3.261,0.863
91.5083277095628,38.34,46.505,4.163,1.551,"S1",2.085,4.782,0.863
17.9620317079736,32.799,36.269,8.217,0.831,"S1",0.869,6.341,0.863
75.771659036157,33.935,42.482,3.612,1.75,"S1",0.327,4.254,0.863
54.3670842176973,28.592,38.363,5.663,0.375,"S1",0.992,3.802,0.863
9.89471515211084,32.622,37.917,7.387,1.474,"S1",0.057,0.765,0.863
32.156926719607,35.046,33.77,9.372,1.714,"S1",0.821,6.486,0.863
16.9402160770244,34.081,30.894,8.444,3.803,"S1",-1.893,2.082,0.863
64.4034300883945,36.245,35.515,9.322,3.714,"S1",2.067,4.501,0.863
57.9618921326542,42.057,41.293,4.914,1.191,"S1",1.271,4.94,0.863
49.3249861458927,38.161,39.924,5.803,0.112,"S1",2.061,5.697,-0.457
35.3007408507689,31.804,32.323,7.308,0.101,"S1",1.115,4.692,-0.457
16.4432964563092,34.537,42.3,6.968,0,"S1",2.128,3.716,-0.457
